週,平均價,交易量
2021-08-23/2021-08-29,44.52,6224.2
2021-08-30/2021-09-05,29.15,6899.67
2021-09-06/2021-09-12,37.37,6411.0
2021-09-13/2021-09-19,22.94,5888.8
2021-09-20/2021-09-26,30.14,4882.2
2021-09-27/2021-10-03,23.2,5875.33
2021-10-04/2021-10-10,23.18,6345.83
2021-10-11/2021-10-17,32.82,4645.2
2021-10-18/2021-10-24,56.38,4633.67
2021-10-25/2021-10-31,31.25,11724.17
2021-11-01/2021-11-07,23.02,11059.17
2021-11-08/2021-11-14,16.7,10101.4
2021-11-15/2021-11-21,12.28,12966.33
2021-11-22/2021-11-28,11.27,8418.0
2021-11-29/2021-12-05,16.4,7433.67
2021-12-06/2021-12-12,19.68,9410.2
2021-12-13/2021-12-19,14.57,6936.33
2021-12-20/2021-12-26,17.0,7069.33
2021-12-27/2022-01-02,18.77,5250.0
2022-01-03/2022-01-09,20.12,6899.0
2022-01-10/2022-01-16,20.36,5990.4
2022-01-17/2022-01-23,18.38,4961.17
2022-01-24/2022-01-30,20.65,4065.5
2022-01-31/2022-02-06,25.85,1657.5
2022-02-07/2022-02-13,50.06,3268.4
2022-02-14/2022-02-20,38.06,4961.8
2022-02-21/2022-02-27,39.43,4594.33
2022-02-28/2022-03-06,36.23,8073.33
2022-03-07/2022-03-13,27.58,9680.8
2022-03-14/2022-03-20,16.93,10916.67
2022-03-21/2022-03-27,12.35,8813.0
2022-03-28/2022-04-03,16.38,8707.67
2022-04-04/2022-04-10,23.18,8267.8
2022-04-11/2022-04-17,18.2,8719.0
2022-04-18/2022-04-24,18.6,6601.83
2022-04-25/2022-05-01,17.35,6578.67
2022-05-02/2022-05-08,15.75,7660.67
2022-05-09/2022-05-15,16.02,6440.17
2022-05-16/2022-05-22,29.98,5424.8
2022-05-23/2022-05-29,33.5,5358.83
2022-05-30/2022-06-05,29.88,5886.0
2022-06-06/2022-06-12,28.23,4890.33
2022-06-13/2022-06-19,39.6,5251.0
2022-06-20/2022-06-26,30.58,5372.67
2022-06-27/2022-07-03,30.72,5357.67
2022-07-04/2022-07-10,25.25,4946.0
2022-07-11/2022-07-17,34.83,4665.17
2022-07-18/2022-07-24,32.1,5387.6
2022-07-25/2022-07-31,35.98,5822.67
2022-08-01/2022-08-07,29.55,5196.67
2022-08-08/2022-08-14,35.62,6765.67
2022-08-15/2022-08-21,20.98,7793.2
2022-08-22/2022-08-28,28.2,6824.8
2022-08-29/2022-09-04,35.42,5535.17
2022-09-05/2022-09-11,49.92,4019.0
2022-09-12/2022-09-18,40.68,6574.0
2022-09-19/2022-09-25,29.1,13659.4
2022-09-26/2022-10-02,14.93,10350.5
2022-10-03/2022-10-09,19.97,6781.33
2022-10-10/2022-10-16,29.23,4995.33
2022-10-17/2022-10-23,30.72,6933.6
2022-10-24/2022-10-30,37.6,4740.33
2022-10-31/2022-11-06,35.93,5496.83
2022-11-07/2022-11-13,23.38,9258.67
2022-11-14/2022-11-20,19.7,7437.0
2022-11-21/2022-11-27,24.77,5908.0
2022-11-28/2022-12-04,31.48,4737.67
2022-12-05/2022-12-11,43.55,4626.5
2022-12-12/2022-12-18,57.0,3463.8
2022-12-19/2022-12-25,47.65,5770.83
2022-12-26/2023-01-01,37.45,6134.83
2023-01-02/2023-01-08,29.73,5505.17
2023-01-09/2023-01-15,21.75,6501.5
2023-01-16/2023-01-22,14.66,6013.4
2023-01-23/2023-01-29,14.53,6972.67
2023-01-30/2023-02-05,18.6,5985.0
2023-02-06/2023-02-12,14.68,6479.8
2023-02-13/2023-02-19,16.53,5147.0
2023-02-20/2023-02-26,16.77,5937.17
2023-02-27/2023-03-05,16.63,6197.67
2023-03-06/2023-03-12,13.63,7473.33
2023-03-13/2023-03-19,10.72,10986.6
2023-03-20/2023-03-26,11.25,6530.5
2023-03-27/2023-04-02,13.73,5776.5
2023-04-03/2023-04-09,16.86,5431.4
2023-04-10/2023-04-16,17.37,6496.67
2023-04-17/2023-04-23,22.17,5623.83
2023-04-24/2023-04-30,25.68,5938.0
2023-05-01/2023-05-07,20.47,7277.83
2023-05-08/2023-05-14,17.45,6920.0
2023-05-15/2023-05-21,16.17,6978.33
2023-05-22/2023-05-28,17.4,8635.8
2023-05-29/2023-06-04,14.7,6772.67
2023-06-05/2023-06-11,18.0,5578.0
2023-06-12/2023-06-18,24.93,4446.83
2023-06-19/2023-06-25,48.66,4184.4
2023-06-26/2023-07-02,30.42,4683.2
2023-07-03/2023-07-09,40.9,4393.0
2023-07-10/2023-07-16,34.13,5175.33
2023-07-17/2023-07-23,46.44,4535.8
2023-07-24/2023-07-30,50.6,4435.5
2023-07-31/2023-08-06,64.2,3137.17
2023-08-07/2023-08-13,51.45,4472.5
2023-08-14/2023-08-20,42.75,4813.33
2023-08-21/2023-08-27,29.43,8518.83
2023-08-28/2023-09-03,23.15,12425.25
2023-09-04/2023-09-10,28.9,8296.6
2023-09-11/2023-09-17,52.68,4685.5
2023-09-18/2023-09-24,53.68,6149.17
2023-09-25/2023-10-01,25.62,7751.4
2023-10-02/2023-10-08,51.52,3442.33
2023-10-09/2023-10-15,65.98,4397.67
2023-10-16/2023-10-22,36.06,10913.2
2023-10-23/2023-10-29,30.78,7058.67
2023-10-30/2023-11-05,18.92,8068.83
2023-11-06/2023-11-12,20.2,7029.0
2023-11-13/2023-11-19,21.16,7722.6
2023-11-20/2023-11-26,25.28,6530.5
2023-11-27/2023-12-03,20.13,6596.0
2023-12-04/2023-12-10,19.1,8525.2
2023-12-11/2023-12-17,20.3,5504.17
2023-12-18/2023-12-24,26.87,4473.33
2023-12-25/2023-12-31,22.17,6270.67
2024-01-01/2024-01-07,17.53,5088.33
2024-01-08/2024-01-14,14.55,6762.83
2024-01-15/2024-01-21,14.2,5175.5
2024-01-22/2024-01-28,16.88,4684.17
2024-01-29/2024-02-04,14.18,5789.6
2024-02-05/2024-02-11,14.98,3263.8
2024-02-12/2024-02-18,26.5,2881.67
2024-02-19/2024-02-25,17.64,7866.6
2024-02-26/2024-03-03,18.88,4764.17
2024-03-04/2024-03-10,24.28,5526.83
2024-03-11/2024-03-17,36.77,4451.67
2024-03-18/2024-03-24,42.08,5756.8
2024-03-25/2024-03-31,14.42,9207.33
2024-04-01/2024-04-07,9.35,11456.75
2024-04-08/2024-04-14,11.63,6814.67
2024-04-15/2024-04-21,18.18,5237.17
2024-04-22/2024-04-28,21.62,5732.17
2024-04-29/2024-05-05,53.97,3135.5
2024-05-06/2024-05-12,45.6,5287.33
2024-05-13/2024-05-19,42.03,5774.83
2024-05-20/2024-05-26,14.1,8848.83
2024-05-27/2024-06-02,13.92,8934.4
2024-06-03/2024-06-09,15.1,6495.33
2024-06-10/2024-06-16,17.36,5940.0
2024-06-17/2024-06-23,19.83,5066.33
2024-06-24/2024-06-30,21.58,4670.67
2024-07-01/2024-07-07,36.12,3663.0
2024-07-08/2024-07-14,40.5,4213.0
2024-07-15/2024-07-21,64.05,3971.33
2024-07-22/2024-07-28,46.96,5070.8
2024-07-29/2024-08-04,90.32,2925.33
2024-08-05/2024-08-11,88.17,3863.67
2024-08-12/2024-08-18,49.67,5851.0
2024-08-19/2024-08-25,32.88,6458.4
2024-08-26/2024-09-01,39.83,5321.33
2024-09-02/2024-09-08,21.62,7276.0
2024-09-09/2024-09-15,26.95,4846.0
2024-09-16/2024-09-22,55.62,3099.2
2024-09-23/2024-09-29,64.0,4298.17
2024-09-30/2024-10-06,69.17,4709.67
2024-10-07/2024-10-13,60.18,3559.33
2024-10-14/2024-10-20,44.15,7286.33
2024-10-21/2024-10-27,30.78,9172.4
2024-10-28/2024-11-03,36.05,7225.17
2024-11-04/2024-11-10,54.97,4842.5
2024-11-11/2024-11-17,46.05,5852.67
2024-11-18/2024-11-24,62.16,5521.4
2024-11-25/2024-12-01,49.83,6388.17
2024-12-02/2024-12-08,36.55,7779.17
2024-12-09/2024-12-15,25.05,11664.0
