name,description
dy_Report_2015.xml,2015年署屬地面測站每日雨量資料
dy_Report_2016.xml,2016年署屬地面測站每日雨量資料
dy_Report_2017.xml,2017年署屬地面測站每日雨量資料
dy_Report_2018.xml,2018年署屬地面測站每日雨量資料
dy_Report_2019.xml,2019年署屬地面測站每日雨量資料
dy_Report_2020.xml,2020年署屬地面測站每日雨量資料
dy_Report_2021.xml,2021年署屬地面測站每日雨量資料
dy_Report_2022.xml,2022年署屬地面測站每日雨量資料
dy_Report_2023.xml,2023年署屬地面測站每日雨量資料
