station_id,station_name,date,rain_amount(mm)
466880,板橋,2022-06-06,22.0
466880,板橋,2022-06-07,61.5
466880,板橋,2022-06-08,56.0
466880,板橋,2022-06-09,10.0
466880,板橋,2022-06-10,1.5
466880,板橋,2022-06-11,4.0
466880,板橋,2022-06-12,11.0
466880,板橋,2022-06-13,0.0
466880,板橋,2022-06-14,1.0
466880,板橋,2022-06-15,10.0
466880,板橋,2022-06-16,4.0
466880,板橋,2022-06-17,0.0
466880,板橋,2022-06-18,0.0
466880,板橋,2022-06-19,0.0
466880,板橋,2022-06-20,0.0
466880,板橋,2022-06-21,0.0
466880,板橋,2022-06-22,0.0
466880,板橋,2022-06-23,27.0
466880,板橋,2022-06-24,6.5
466880,板橋,2022-06-25,45.0
466880,板橋,2022-06-26,2.5
466880,板橋,2022-06-27,0.0
466880,板橋,2022-06-28,0.0
466880,板橋,2022-06-29,0.5
466880,板橋,2022-06-30,0.0
466880,板橋,2022-07-01,0.0
466880,板橋,2022-07-02,30.5
466880,板橋,2022-07-03,0.0
466880,板橋,2022-07-04,76.5
466880,板橋,2022-07-05,31.0
466880,板橋,2022-07-06,0.5
466880,板橋,2022-07-07,6.5
466880,板橋,2022-07-08,0.0
466880,板橋,2022-07-09,0.0
466880,板橋,2022-07-10,1.5
466880,板橋,2022-07-11,2.5
466880,板橋,2022-07-12,0.0
466880,板橋,2022-07-13,0.0
466880,板橋,2022-07-14,0.0
466880,板橋,2022-07-15,0.0
466880,板橋,2022-07-16,0.0
466880,板橋,2022-07-17,0.0
466880,板橋,2022-07-18,0.5
466880,板橋,2022-07-19,T
466880,板橋,2022-07-20,19.0
466880,板橋,2022-07-21,0.0
466880,板橋,2022-07-22,0.0
466880,板橋,2022-07-23,0.0
466880,板橋,2022-07-24,0.0
466880,板橋,2022-07-25,0.0
466880,板橋,2022-07-26,0.5
466880,板橋,2022-07-27,0.0
466880,板橋,2022-07-28,0.0
466880,板橋,2022-07-29,16.5
466880,板橋,2022-07-30,T
466880,板橋,2022-07-31,0.0
466880,板橋,2022-08-01,0.0
466880,板橋,2022-08-02,25.5
466880,板橋,2022-08-03,0.0
466880,板橋,2022-08-04,T
466880,板橋,2022-08-05,0.0
466880,板橋,2022-08-06,0.0
466880,板橋,2022-08-07,0.0
466880,板橋,2022-08-08,0.0
466880,板橋,2022-08-09,0.0
